Date/Time,Word Count,en,ja,zh
2024.01.20-16.57.42,773,0,773,0
2024.01.20-16.58.51,773,20,773,0
2024.01.20-17.15.55,769,20,769,0
2024.01.25-16.03.21,482,45,482,20
2024.02.29-10.30.28,1003,34,1003,20
2024.03.18-20.48.50,1292,30,1292,20
2024.03.19-12.06.53,1301,738,1301,20
2024.04.03-19.55.41,1392,753,1392,20
2024.04.04-21.19.48,2217,566,2217,20
2024.04.09-22.10.11,2450,508,2450,0
2024.05.24-21.42.17,2730,479,2730,0
2024.05.24-21.46.34,2730,507,2730,0
2024.06.04-22.55.58,2699,679,2699,0
2024.06.05-01.11.48,2699,1885,2699,0
2024.06.05-01.25.41,2701,1944,2701,0
2024.06.05-14.22.43,2701,1970,2701,0
2024.06.17-00.39.35,2741,1876,2741,0
2024.06.17-01.14.45,2743,1947,2743,0
2024.07.08-21.16.44,2831,1897,2831,0
2024.07.16-02.23.38,2767,1665,2767,0
2024.07.17-23.00.28,2778,1888,2778,0
2024.07.17-23.18.38,2810,1958,2810,0
2024.07.31-00.09.36,2990,1951,2990,0
2024.08.13-23.14.50,3204,1980,3204,0
2024.09.22-21.05.19,3415,2224,3415,0
2024.09.24-18.58.27,3451,2504,3451,0
2024.09.24-19.30.27,3486,2443,3486,0
2024.09.25-00.30.16,3589,2578,3589,0
2024.09.25-00.42.09,3613,2619,3613,0
